
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
10162,I205887,ΦΟΡΗΤΗ ΣΥΣΚΕΥΗ ΗΛΕΚΤΡΟΓΡΑΦΗΜΑΤΟΣ ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ ΓΙΑ 24 ΩΡΕΣ ΚΑΤΑΓΡΑΦΗ ΚΑΙ ΑΠΟΘΗΚΕΥΣΗ ΣΥΝΕΧΟΥΣ ΑΡΧΙΚΗΣ ΚΥΜΑΤΟΜΟΡΦΗΣ ΜΕ ΟΠΤΙΚΗ ΕΠΙΠΡΟΒΟΛΗ ΣΑΡΩΣΗΣ· ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΤΑΓΡΑΦΗ  ΑΝΑΛΥΣΗ ΣΑΡΩΣΗΣ ΜΕ ΕΚΘΕΣΗ ΙΑΤΡΙΚΟ ΕΛΕΓΧΟ ΚΑΙ ΕΡΜΗΝΕΙΑ
10163,I205889,ΑΝΕΝΕΡΓΟΣ
10164,I205891,ΑΝΕΝΕΡΓΟΣ
10165,I205893,ΑΝΕΝΕΡΓΟΣ
10166,I205895,ΦΟΡΗΤΗ ΚΙΝΗΤΗ ΚΑΡΔΙΑΓΓΕΙΑΚΗ ΤΗΛΕΜΕΤΡΙΑ ΜΕ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΗ ΚΑΤΑΓΡΑΦΗ ΠΑΡΑΛΛΗΛΗ ΥΠΟΛΟΓΙΣΤΙΚΗ ΑΝΑΛΥΣΗ ΔΕΔΟΜΕΝΩΝ ΣΕ ΠΡΑΓΜΑΤΙΚΟ ΧΡΟΝΟ ΚΑΙ ΔΥΝΑΤΟΤΗΤΑ ΑΠΟΘΗΚΕΥΣΗΣ ΠΡΟΣΒΑΣΙΜΩΝ ΔΕΔΟΜΕΝΩΝ ΗΚΓ ΠΕΡΙΣΣΟΤΕΡΩΝ ΑΠΟ 24 ΩΡΩΝ (ΑΝΑΚΤΗΣΗ ΜΕ ΑΙΤΗΜΑ) ΜΕ ΜΕΤΑΔΟΣΗ ΣΥΜΒΑΝΤΩΝ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΑ ΕΝΕΡΓΟΠΟΙΟΥΜΕΝΗ Ή ΚΑΤ'ΕΠΙΛΟΓΗ ΤΟΥ ΑΣΘΕΝΗ ΣΕ ΑΠΟΜΑΚΡΥΣΜΕΝΟ ΚΕΝΤΡΟ ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ ΓΙΑ 30 ΗΜΕΡΕΣ ΜΕΓΙΣΤΟ· ΙΑΤΡΙΚΟΣ ΕΛΕΓΧΟΣ ΚΑΙ ΕΡΜΗΝΕΙΑ ΜΕ ΕΚΘΕΣΗ
10167,I205897,ΑΝΕΝΕΡΓΟΣ
10168,I205899,ΑΝΕΝΕΡΓΟΣ
10169,I205901,ΑΝΕΝΕΡΓΟΣ
10170,I205903,ΑΝΕΝΕΡΓΟΣ
10171,I205905,ΑΝΕΝΕΡΓΟΣ
10172,I205909,ΑΝΕΝΕΡΓΟΣ
10173,I205911,ΑΝΕΝΕΡΓΟΣ
10174,I205913,ΑΝΕΝΕΡΓΟΣ
10175,I205975,ΦΟΡΗΤΗ ΣΥΣΚΕΥΗ ΚΑΤΑΓΡΑΦΗΣ ΣΥΜΒΑΝΤΩΝ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΟΥ ΡΥΘΜΟΥ ΕΝΕΡΓΟΠΟΙΟΥΜΕΝΗ ΑΠΟ ΤΟΝ ΑΣΘΕΝΗ ΚΑΤΑΓΡΑΦΗ ΜΕ ΠΡΟΣΥΜΠΤΩΜΑΤΙΚΗ ΜΝΗΜΗ ΠΑΡΑΚΟΛΟΥΘΗΣΗ 24 ΩΡΩΝ ΓΙΑ ΧΡΟΝΙΚΗ ΠΕΡΙΟΔΟ 30 ΗΜΕΡΩΝ· ΠΕΡΙΛΑΜΒΑΝΕΙ ΜΕΤΑΔΟΣΗ ΙΑΤΡΙΚΟ ΕΛΕΓΧΟ ΚΑΙ ΕΡΜΗΝΕΙΑ
10176,I205979,ΑΝΕΝΕΡΓΟΣ
10177,I205981,ΑΝΕΝΕΡΓΟΣ
10178,I205983,ΑΝΕΝΕΡΓΟΣ
10179,I205995,ΗΚΓ ΜΕ ΤΜΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΥΠΟΛΟΓΙΣΤΗ (SAECG) ΜΕ Ή ΧΩΡΙΣ ΗΚΓ
10180,I205997,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΤΗΣ ΕΜΦΥΤΕΥΣΙΜΗΣ ΒΗΜΑΤΟΔΟΤΙΚΗΣ ΣΥΣΚΕΥΗΣ ΓΙΑ ΕΛΕΓΧΟ ΤΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΤΗΣ ΣΥΣΚΕΥΗΣ ΚΑΙ ΕΠΙΛΟΓΗ ΒΕΛΤΙΣΤΩΝ ΜΟΝΙΜΩΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΩΝ ΤΙΜΩΝ ΜΕ ΙΑΤΡΙΚΗ ΑΝΑΛΥΣΗ ΕΛΕΓΧΟ ΚΑΙ ΕΚΘΕΣΗ ΣΥΣΤΗΜΑ ΒΗΜΑΤΟΔΟΤΗ
10181,I205999,ΑΝΕΝΕΡΓΟΣ
10182,I206001,ΑΝΕΝΕΡΓΟΣ
10183,I206003,ΑΝΕΝΕΡΓΟΣ
10184,I206005,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΤΗΣ ΕΜΦΥΤΕΥΣΙΜΗΣ ΑΠΙΝΙΔΩΤΙΚΗΣ ΣΥΣΚΕΥΗΣ ΓΙΑ ΕΛΕΓΧΟ ΛΕΙΤΟΥΡΓΙΑΣ ΤΗΣ ΣΥΣΚΕΥΗΣ ΚΑΙ ΕΠΙΛΟΓΗ ΒΕΛΤΙΣΤΩΝ ΜΟΝΙΜΩΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΩΝ ΤΙΜΩΝ ΜΕ ΙΑΤΡΙΚΗ ΑΝΑΛΥΣΗ ΕΛΕΓΧΟ ΚΑΙ ΕΚΘΕΣΗ
10185,I206007,ΑΝΕΝΕΡΓΟΣ
10186,I206009,ΑΞΙΟΛΟΓΗΣΗ ΣΥΣΚΕΥΗΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ ΜΕ ΕΠΑΝΑΛΑΜΒΑΝΟΜΕΝΗ ΠΡΟΣΑΡΜΟΓΗ ΤΗΣ ΕΜΦΥΤΕΥΣΙΜΗΣ ΣΥΣΚΕΥΗΣ ΓΙΑ ΕΛΕΓΧΟ ΤΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΤΗΣ ΣΥΣΚΕΥΗΣ ΚΑΙ ΕΠΙΛΟΓΗ ΒΕΛΤΙΣΤΩΝ ΜΟΝΙΜΩΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΩΝ ΤΙΜΩΝ ΜΕ ΙΑΤΡΙΚΗ ΑΝΑΛΥΣΗ ΕΛΕΓΧΟ ΚΑΙ ΕΚΘΕΣΗ· ΕΜΦΥΤΕΥΣΙΜΟ ΣΥΣΤΗΜΑ ΚΑΤΑΓΡΑΦΗΣ ΒΡΟΧΟΥ
10187,I206011,ΑΝΕΝΕΡΓΟΣ
10188,I206013,ΑΝΕΝΕΡΓΟΣ
10189,I206015,ΑΝΕΝΕΡΓΟΣ
10190,I206017,ΑΝΕΝΕΡΓΟΣ
10191,I206019,ΑΝΕΝΕΡΓΟΣ
10192,I206021,ΑΝΕΝΕΡΓΟΣ
10193,I206023,ΑΝΕΝΕΡΓΟΣ
10194,I206025,ΑΝΕΝΕΡΓΟΣ
10195,I206027,ΑΝΕΝΕΡΓΟΣ
10196,I206029,ΑΞΙΟΛΟΓΗΣΗ/-ΕΙΣ ΣΥΣΚΕΥΗΣ ΔΙΑΓΝΩΣΗΣ (ΑΠΟ ΑΠΟΣΤΑΣΗ) ΕΩΣ 90 ΗΜΕΡΕΣ. ΜΟΝΗΣ ΔΙΠΛΗΣ Ή ΠΟΛΛΑΠΛΩΝ ΑΠΑΓΩΓΩΝ ΣΥΣΤΗΜΑ ΕΜΦΥΤΕΥΣΙΜΟΥ ΑΠΙΝΙΔΩΤΗ ΜΕ ΕΝΔΙΑΜΕΣΗ ΑΝΑΛΥΣΗ ΕΛΕΓΧΟ(ΥΣ) ΚΑΙ ΕΚΘΕΣΗ(ΕΙΣ) ΑΠΟ ΙΑΤΡΟ
10197,I206031,ΑΝΕΝΕΡΓΟΣ
10198,I206033,ΑΝΕΝΕΡΓΟΣ
10199,I206035,ΑΞΙΟΛΟΓΗΣΗ/-ΕΙΣ ΣΥΣΚΕΥΗΣ ΔΙΑΓΝΩΣΗΣ (ΑΠΟ ΑΠΟΣΤΑΣΗ) ΕΩΣ 30 ΗΜΕΡΕΣ. ΕΜΦΥΤΕΥΣΙΜΟ ΣΥΣΤΗΜΑ ΚΑΤΑΓΡΑΦΕΑ ΑΡΡΥΘΜΙΟΛΟΓΙΚΩΝ ΣΥΜΒΑΜΑΤΩΝ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΝΑΛΥΣΗΣ ΤΩΝ ΚΑΤΑΓΕΓΡΑΜΜΕΝΩΝ ΔΕΔΟΜΕΝΩΝ ΚΑΡΔΙΑΚΟΥ ΡΥΘΜΟΥ ΑΝΑΛΥΣΗ ΑΠΟ ΙΑΤΡΟ ΕΛΕΓΧΟΣ/-ΟΙ ΚΑΙ ΑΝΑΦΟΡΑ/-ΕΣ
10200,I206037,ΑΝΕΝΕΡΓΟΣ
10201,I206045,ΑΝΕΝΕΡΓΟΣ
10202,I206047,ΑΝΕΝΕΡΓΟΣ
10203,I206051,ΥΠΕΡΗΧΟΚΑΡΔΙΟΛΟΓΙΚΗ ΜΕΛΕΤΗ ΠΛΗΡΗΣ.(ΔΙΑΘΩΡΑΚΙΚΗΠΡΑΓΜΑΤΙΚΟΥ ΧΡΟΝΟΥ2-ΔΙΑΣΤΑΣΕΩΝΚΑΤΑΓΡΑΦΗ M-MODE DOPPLER ΗΧΟΚΑΡΔΙΟΓΡΑΦΗΜΑ ΦΑΣΜΑΤΟΣ ΚΑΙ ΕΓΧΡΩΜΗΣ ΑΠΕΙΚΟΝΙΣΗΣ ΡΟΗΣ)
10204,I206053,ΑΝΕΝΕΡΓΟΣ
10205,I206055,ΥΠΕΡΗΧΟΚΑΡΔΙΟΛΟΓΙΚΗ ΜΕΛΕΤΗ ΠΕΡΙΟΡΙΣΜΕΝΗ.(ΔΙΑΘΩΡΑΚΙΚΗΠΡΓΜΑΤΙΚΟΥ ΧΡΟΝΟΥ2-ΔΙΑΣΤΑΣΕΩΝΚΑΤΑΓΡΑΦΗ M-MODE)
10206,I206063,ΠΛΗΡΗΣ ΔΙΟΙΣΟΦΑΓΕΙΟΣ ΗΧΩΚΑΡΔΙΟΓΡΑΦΙΚΗ ΜΕΛΕΤΗ
10207,I206065,ΑΝΕΝΕΡΓΟΣ
10208,I206067,ΥΠΕΡΗΧΟΚΑΡΔΙΟΛΟΓΙΚΗ ΜΕΛΕΤΗ ΠΛΗΡΗΣ. ΔΙΟΙΣΟΦΑΓΙΟΣ.(ΠΡΑΓΜΑΤΙΚΟΥ ΧΡΟΝΟΥ2-ΔΙΑΣΤΑΣΕΩΝΚΑΤΑΓΡΑΦΗ M-MODE DOPPLER ΗΧΟΚΑΡΔΙΟΓΡΑΦΗΜΑ ΦΑΣΜΑΤΟΣ ΚΑΙ ΕΓΧΡΩΜΗΣ ΑΠΕΙΚΟΝΙΣΗΣ ΡΟΗΣ)
10209,I206069,ΑΝΕΝΕΡΓΟΣ
10210,I206071,ΑΝΕΝΕΡΓΟΣ
10211,I206073,ΑΝΕΝΕΡΓΟΣ
10212,I206075,ΑΝΕΝΕΡΓΟΣ
10213,I206079,ΑΝΕΝΕΡΓΟΣ
10214,I206081,ΑΝΕΝΕΡΓΟΣ
10215,I206089,ΑΝΕΝΕΡΓΟΣ
10216,I206139,ΑΝΕΝΕΡΓΟΣ
10217,I206141,ΗΧΩΚΑΡΔΙΟΓΡΑΦΗΜΑ ΔΙΑΘΩΡΑΚΙΚΟ ΟΤΑΝ ΠΡΑΓΜΑΤΟΠΟΙΕΙΤΑΙ ΚΑΤΑ ΤΗ ΔΙΑΡΚΕΙΑ ΑΝΑΠΑΥΣΗΣ ΚΑΙ ΔΟΚΙΜΑΣΙΑ ΚΑΡΔΙΑΓΓΕΙΑΚΗΣ ΚΟΠΩΣΗΣ ΣΕ ΚΥΛΙΟΜΕΝΟ ΤΑΠΗΤΑ ΑΣΚΗΣΗ ΜΕ ΠΟΔΗΛΑΤΟ ΚΑΙ/Η' ΦΑΡΜΑΚΕΥΤΙΚΗ ΠΡΟΚΛΗΣΗ ΚΑΤΑΠΟΝΗΣΗΣ ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΑΝΑΦΟΡΑ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΠΟΔΟΣΗΣ ΤΗΣ ΣΥΝΕΧΟΥΣ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΗΣ ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ ΥΠΟ ΤΗΝ ΕΠΙΒΛΕΨΗ ΙΑΤΡΟΥ
10218,I206143,ΧΡΗΣΗ ΗΧΩΚΑΡΔΙΟΓΡΑΦΙΚΟΥ ΣΚΙΑΓΡΑΦΙΚΟΥ ΜΕΣΟΥ ΚΑΤΆ ΤΗ ΔΙΑΡΚΕΙΑ ΗΧΩΚΑΡΔΙΟΓΡΑΦΗΜΑΤΟΣ ΜΕ Η' ΧΩΡΙΣ ΚΑΤΑΠΟΝΗΣΗ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10219,I206441,ΠΛΗΡΗΣ ΚΑΘΕΤΗΡΙΑΣΜΟΣ ΔΕΞΙΑΣ ΚΑΡΔΙΑΣ (ΚΑΙ ΓΙΑ ΣΥΓΓΕΝΕΙΣ ΚΑΡΔΙΟΠΑΘΕΙΕΣ)
10220,I206445,ΕΙΣΑΓΩΓΗ ΚΑΙ ΤΟΠΟΘΕΤΗΣΗΣ ΚΑΘΕΤΗΡΑ ΚΑΤΕΥΘΥΝΟΜΕΝΟΥ ΑΠΟ  ΤΗ ΡΟΗ (Π.Χ. SWAN-GANZ) ΓΙΑ ΣΚΟΠΟΥΣ ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ
10221,I206449,ΕΝΔΟΜΥΟΚΑΡΔΙΑΚΗ ΒΙΟΨΙΑ
10222,I206455,ΑΝΕΝΕΡΓΟΣ
10223,I206459,ΠΛΗΡΗΣ ΑΡΙΣΤΕΡΟΣ ΚΑΡΔΙΑΚΟΣ ΚΑΘΕΤΗΡΙΑΣΜΟΣ (ΣΤΕΦΑΝΙΟΓΡΑΦΙΑ ΑΥΤΟΧΘΟΝΩΝ ΑΓΓΕΙΩΝ ΚΑΙ/Η' ΜΟΣΧΕΥΜΑΤΩΝ ΜΕΤΡΗΣΗ ΠΙΕΣΕΩΝ ΜΕ Η' ΧΩΡΙΣ ΑΡΙΣΤΕΡΗ ΚΟΙΛΙΟΓΡΑΦΙΑ ΜΕ 'Η ΧΩΡΙΣ ΑΟΡΤΟΓΡΑΦΙΑ
10224,I206461,ΑΝΕΝΕΡΓΟΣ
10225,I206467,ΑΝΕΝΕΡΓΟΣ
10226,I206487,ΑΝΕΝΕΡΓΟΣ
10227,I206491,ΑΝΕΝΕΡΓΟΣ
10228,I206493,ΣΥΝΔΥΑΣΜΟΣ ΚΑΘΕΤΗΡΙΑΣΜΟΥ ΤΗΣ ΔΕΞΙΑΣ ΚΑΡΔΙΑΣ ΚΑΙ ΔΙΑΦΡΑΓΜΑΤΙΚΟΥ ΚΑΘΕΤΗΡΙΑΣΜΟΥ ΤΗΣ ΑΡΙΣΤΕΡΗΣ ΚΑΡΔΙΑΣ ΜΕΣΩ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ (ΜΕ Η' ΧΩΡΙΣ ΠΑΛΙΝΔΡΟΜΟ ΚΑΘΕΤΗΡΙΑΣΜΟ ΤΗΣ ΑΡΙΣΤΕΡΗΣ ΚΑΡΔΙΑΣ
10229,I206495,ΑΝΕΝΕΡΓΟΣ
10230,I206497,ΑΝΕΝΕΡΓΟΣ
10231,I206499,ΑΝΕΝΕΡΓΟΣ
10232,I206501,ΑΝΕΝΕΡΓΟΣ
10233,I206503,ΑΝΕΝΕΡΓΟΣ
10234,I206505,ΑΝΕΝΕΡΓΟΣ
10235,I206517,ΑΝΕΝΕΡΓΟΣ
10236,I206519,ΑΝΕΝΕΡΓΟΣ
10237,I206521,ΑΓΓΕΙΟΓΡΑΦΙΑ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ
10238,I206523,ΕΚΛΕΚΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΤΗΣ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ Ή ΤΟΥ ΑΡΙΣΤΕΡΟΥ ΚΟΛΠΟΥ (ΚΑΤΑΓΡΑΦΗ ΞΕΧΩΡΙΣΤΗ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10239,I206525,ΑΝΕΝΕΡΓΟΣ
10240,I206527,ΑΝΕΝΕΡΓΟΣ
10241,I206529,ΑΝΕΝΕΡΓΟΣ
10242,I206549,ΑΝΕΝΕΡΓΟΣ
10243,I206551,ΑΝΕΝΕΡΓΟΣ
10244,I206561,ΑΝΕΝΕΡΓΟΣ
10245,I206563,ΑΝΕΝΕΡΓΟΣ
10246,I206581,ΑΝΕΝΕΡΓΟΣ
10247,I206583,ΑΝΕΝΕΡΓΟΣ
10248,I206599,ΔΙΑΔΕΡΜΙΚΗ ΣΥΓΚΛΙΣΗ ΜΕΣΟΚΟΛΠΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
10249,I206601,ΑΝΕΝΕΡΓΟΣ
10250,I206639,ΑΝΕΝΕΡΓΟΣ
10251,I206643,ΑΝΕΝΕΡΓΟΣ
10252,I206645,ΑΝΕΝΕΡΓΟΣ
10253,I206657,ΑΝΕΝΕΡΓΟΣ
10254,I206659,ΑΝΕΝΕΡΓΟΣ
10255,I206663,ΑΝΕΝΕΡΓΟΣ
10256,I206665,ΕΝΔΟΚΑΡΔΙΑΚΗ ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΗ 3 ΔΙΑΣΤΑΣΕΩΝ ΧΑΡΤΟΓΡΑΦΗΣΗ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10257,I206669,ΟΙΣΟΦΑΓΙΚΗ ΚΑΤΑΓΡΑΦΗ ΗΛΕΚΤΡΟΓΡΑΦΗΜΑΤΟΣ ΚΟΛΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΗΛΕΚΤΡΟΓΡΑΦΗΜΑ/-ΤΑ ΚΟΙΛΙΑΣ
10258,I206671,ΟΙΣΟΦΑΓΙΚΗ ΚΑΤΑΓΡΑΦΗ ΗΛΕΚΤΡΟΓΡΑΦΗΜΑΤΟΣ ΚΟΛΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΗΛΕΚΤΡΟΓΡΑΦΗΜΑ/-ΤΑ ΚΟΙΛΙΑΣ ΜΕ ΔΙΕΓΕΡΣΗ ΤΗΣ ΚΑΡΔΙΑΣ
10259,I206675,ΑΝΕΝΕΡΓΟΣ
10260,I206677,ΑΝΕΝΕΡΓΟΣ
10261,I206679,ΠΛΗΡΗΣ ΚΑΡΔΙΟΛΟΓΙΚΗ ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΗ ΜΕΛΕΤΗ
10262,I206681,ΑΝΕΝΕΡΓΟΣ
10263,I206683,ΑΝΕΝΕΡΓΟΣ
10264,I206685,ΑΝΕΝΕΡΓΟΣ
10265,I206687,ΑΝΕΝΕΡΓΟΣ
10266,I206701,ΕΝΔΟΕΓΧΕΙΡΗΤΙΚΗ ΕΠΙΚΑΡΔΙΑΚΗ ΚΑΙ ΕΝΔΟΚΑΡΔΙΑΚΗ ΔΙΕΓΕΡΣΗ ΚΑΙ ΧΑΡΤΟΓΡΑΦΗΣΗ ΓΙΑ ΕΝΤΟΠΙΣΜΟ ΤΟΥ ΣΗΜΕΙΟ ΤΑΧΥΚΑΡΔΙΑΣ Ή ΤΗΣ ΖΩΝΗΣ ΒΡΑΔΕΙΑΣ ΜΕΤΑΔΟΣΗΣ ΓΙΑ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ
10267,I206719,ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΑΠΑΓΩΓΩΝ ΒΗΜΑΤΟΔΟΤΗ-ΑΠΙΝΙΔΩΤΗ ΜΟΝΟΥ Ή ΔΙΠΛΟΥ ΘΑΛΑΜΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΟΥΔΟΥ ΑΠΙΝΙΔΙΣΜΟΥ ΑΞΙΟΛΟΓΗΣΗ (ΕΠΑΓΩΓΗ ΤΗΣ ΑΡΡΥΘΜΙΑΣ ΑΞΙΟΛΟΓΗΣΗ ΑΝΙΧΝΕΥΣΗΣ ΚΑΙ ΔΙΕΓΕΡΣΗΣ ΓΙΑ ΔΙΑΚΟΠΗ ΑΡΡΥΘΜΙΑΣ) ΤΗ ΣΤΙΓΜΗ ΤΗΣ ΑΡΧΙΚΗΣ ΕΜΦΥΤΕΥΣΗΣ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗΣ
10268,I206721,ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΑΠΑΓΩΓΩΝ ΒΗΜΑΤΟΔΟΤΗ-ΑΠΙΝΙΔΩΤΗ ΜΟΝΟΥ Ή ΔΙΠΛΟΥ ΘΑΛΑΜΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΟΥΔΟΥ ΑΠΙΝΙΔΙΣΜΟΥ ΑΞΙΟΛΟΓΗΣΗ (ΕΠΑΓΩΓΗ ΤΗΣ ΑΡΡΥΘΜΙΑΣ ΑΞΙΟΛΟΓΗΣΗ ΑΝΙΧΝΕΥΣΗΣ ΚΑΙ ΔΙΕΓΕΡΣΗΣ ΓΙΑ ΔΙΑΚΟΠΗ ΑΡΡΥΘΜΙΑΣ) ΤΗ ΣΤΙΓΜΗ ΤΗΣ ΑΡΧΙΚΗΣ ΕΜΦΥΤΕΥΣΗΣ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗΣ ΜΕ ΕΞΕΤΑΣΗ ΕΚΠΟΜΠΗΣ ΠΑΛΜΩΝ ΣΕ ΒΗΜΑΤΟΔΟΤΗ- ΑΠΙΝΙΔΩΤΗ ΜΟΝΟΥ Ή ΔΙΠΛΟΥ ΘΑΛΑΜΟΥ
10269,I206723,ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΑΠΑΓΩΓΩΝ ΒΗΜΑΤΟΔΟΤΗ-ΑΠΙΝΙΔΩΤΗ ΜΟΝΟΥ Ή ΔΙΠΛΟΥ ΘΑΛΑΜΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΟΥΔΟΥ ΑΠΙΝΙΔΙΣΜΟΥ ΤΗΝ ΕΠΑΓΩΓΗ ΤΗΣ ΑΡΡΥΘΜΙΑΣ ΤΗΝ ΑΞΙΟΛΟΓΗΣΗ ΑΝΙΧΝΕΥΣΗΣ ΚΑΙ ΔΙΕΓΕΡΣΗΣ ΓΙΑ ΔΙΑΚΟΠΗ ΑΡΡΥΘΜΙΑΣ ΚΑΙ ΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ Ή ΤΟΝ ΕΠΑΝΑΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΠΑΡΑΜΕΤΡΩΝ ΑΝΙΧΝΕΥΣΗΣ Ή ΘΕΡΑΠΕΙΑΣ)
10270,I206739,ΚΑΤΑΛΥΣΗ ΜΕΣΩ ΕΝΔΟΚΑΡΔΙΑΚΟΥ ΚΑΘΕΤΗΡΑ ΤΟΥ ΚΟΛΠΟΚΟΙΛΙΑΚΟΥ ΚΟΜΒΟΥ ΚΟΛΠΟΚΟΙΛΙΑΚΗ ΕΠΑΓΩΓΗ ΓΙΑ ΔΗΜΙΟΥΡΓΙΑ ΠΛΗΡΟΥΣ ΚΑΡΔΙΑΚΟΥ ΑΠΟΚΛΕΙΣΜΟΥ ΜΕ Ή ΧΩΡΙΣ ΠΡΟΣΩΡΙΝΗ ΤΟΠΟΘΕΤΗΣΗ ΒΗΜΑΤΟΔΟΤΗ 
10271,I206741,ΚΑΤΑΛΥΣΗ ΜΕΣΩ ΕΝΔΟΚΑΡΔΙΑΚΟΥ ΚΑΘΕΤΗΡΑ ΑΡΡΥΘΜΙΟΓΟΝΟΥ ΕΣΤΙΑΣ. ΓΙΑ ΤΗΝ ΘΕΡΑΠΕΙΑ ΤΗΣ ΥΠΕΡΚΟΙΛΙΑΚΗΣ ΤΑΧΥΚΑΡΔΙΑΣ ΜΕ ΑΦΑΙΡΕΣΗ ΤΑΧΕΩΝ Ή ΒΡΑΔΕΩΝ ΚΟΛΠΟΚΟΙΛΙΑΚΩΝ ΟΔΩΝ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΛΠΟΚΟΙΛΙΑΚΕΣ ΣΥΝΔΕΣΕΙΣ Ή ΆΛΛΕΣ ΚΟΛΠΙΚΕΣ ΕΣΤΙΕΣ ΜΕΜΟΝΩΜΕΝΑ Ή ΣΕ ΣΥΝΔΥΑΣΜΟ
10272,I206743,ΚΑΤΑΛΥΣΗ ΜΕΣΩ ΕΝΔΟΚΑΡΔΙΑΚΟΥ ΚΑΘΕΤΗΡΑ ΑΡΡΥΘΜΙΟΓΟΝΟΥ ΕΣΤΙΑΣ. ΓΙΑ ΤΗΝ ΘΕΡΑΠΕΙΑ ΤΗΣ ΚΟΙΛΙΑΚΗΣ ΤΑΧΥΚΑΡΔΙΑΣ
